billboard_id,latitude,longitude,state_full,state_abbrev,campaign,url,message,street_view_date,mentions_bible_jesus_christians,mentions_n,mentions_y,image
1258,40.1327,-75.7933,Pennsylvania,PA,,"https://www.google.com/maps/@40.1331967,-75.7930118,3a,75y,299.82h,100.93t/data=!3m6!1e1!3m4!1s-w6UOfn8Z6aef-BfPjrhGw!2e0!7i13312!8i6656",Who is Jesus? Read Matthew's Gospel,16-Aug,Y,,Y,https://s17.postimg.org/dnv1relbj/1258.png
1262,39.0912,-95.7087,Kansas,KS,,"https://www.google.com/maps/@39.0908894,-95.7079913,3a,33.4y,307.95h,94.49t/data=!3m6!1e1!3m4!1s1aNd0fOD27oflDR9hKyXHg!2e0!7i13312!8i6656",In despair? Jesus is your hope!,16-Feb,N,N,,https://s17.postimg.org/imik5rhcv/1262.png
1267,41.22213,-96.00049,Nebraska,NE,,"https://www.google.com/maps/@41.2235589,-96.0017842,3a,15y,206.05h,90.46t/data=!3m6!1e1!3m4!1sxAZffnSs6EqCG9sHsJJbWA!2e0!7i13312!8i6656",Where are you going? Heaven or Hell,16-Oct,N,N,,https://s17.postimg.org/r4s0agiu7/1267.png
1272,47.6752,-117.3117,Washington,WA,,"https://www.google.com/maps/@47.6750642,-117.3123524,3a,75y,106.96h,101.56t/data=!3m6!1e1!3m4!1s6hPMRsxd9zj48RihgIPJMg!2e0!7i13312!8i6656",In despair? Jesus is your hope!,16-Sep,N,N,,https://s17.postimg.org/yxio2ktzz/1272.png
1276,42.6365,-73.7595,New York,NY,,"https://www.google.com/maps/@42.636814,-73.7589583,3a,78.4y,210.73h,95.88t/data=!3m6!1e1!3m4!1sWMfrf56I_ac1SNlOBfNIVQ!2e0!7i13312!8i6656",Jesus your only way to God.,16-Aug,N,N,,https://s17.postimg.org/imik6576n/1276.png
1330,30.0838,-90.4496,Louisiana,LA,,"https://www.google.com/maps/@30.0839002,-90.4501256,3a,59.6y,91.6h,89.84t/data=!3m6!1e1!3m4!1s8odp_AltsTMtQ3pcmg_zUA!2e0!7i13312!8i6656",In despair? Jesus is your hope!,16-Aug,N,N,,https://s18.postimg.org/oscxc076x/a1330.png
1333,30.2365,-92.4425,Louisiana,LA,,"https://www.google.com/maps/@30.2361378,-92.4418416,3a,75y,337.97h,95.01t/data=!3m6!1e1!3m4!1sFgkHQEN1wHMIj6mEY5XANg!2e0!7i13312!8i6656",In despair? Jesus is your hope!,16-Jun,N,N,,https://s18.postimg.org/wxuza9y1l/1333.png
1336,30.4128,-89.2088,Mississippi,MS,,"https://www.google.com/maps/@30.4127824,-89.208554,3a,69.2y,229.13h,93.46t/data=!3m6!1e1!3m4!1sGLxmgSm_eq5Ly_u2uqoXIA!2e0!7i13312!8i6656",Where are you going? Heaven or Hell,17-Jan,N,N,,https://s18.postimg.org/vvksrwfa1/1336.png
1338,30.4462,-88.5199,Mississippi,MS,,"https://www.google.com/maps/@30.4456451,-88.5200307,3a,25y,13.22h,93.86t/data=!3m6!1e1!3m4!1shhLFBKN2mqBN2L9OhHXDeg!2e0!7i13312!8i6656",Where are you going? Heaven or Hell,16-Dec,N,N,,https://s18.postimg.org/hcdnqih09/1338.png
1351,32.4534,-93.8558,Louisiana,LA,,"https://www.google.com/maps/@32.453194,-93.8543804,3a,29.1y,28.16h,90.3t/data=!3m6!1e1!3m4!1s9SELVdbpqolhqlkv1HLFCQ!2e0!7i13312!8i6656",Read the Bible! Truth. Wisdom. Hope.,16-Oct,Y,,Y,https://s18.postimg.org/jv3y4lzqh/1351.png
