markets,dma,name,bible_minded_ranking,top_bible_minded_y_n,cartodb_id,"marketpop,N,24,15",point_count,point_count_n,point_count_y
DAYTON,542,DAYTON,40,Y,43,1323891,8,7,1
GRAND RAPIDS-KALMZOO-B.CRK,563,GRAND RAPIDS-KALMZOO-B.CRK,20,Y,63,1980745,1,1,0
SOUTH BEND-ELKHART,588,SOUTH BEND-ELKHART,43,Y,80,892736,1,1,0
YOUNGSTOWN,536,YOUNGSTOWN,0,,37,673475,1,1,0
NORFOLK-PORTSMTH-NEWPT NWS,544,NORFOLK-PORTSMTH-NEWPT NWS,42,Y,45,1885840,0,0,0
GREENVILLE-N.BERN-WASHNGTN,545,GREENVILLE-N.BERN-WASHNGTN,26,Y,46,794264,0,0,0
"COLUMBIA, SC",546,"COLUMBIA, SC",23,Y,47,1039551,0,0,0
TOLEDO,547,TOLEDO,65,Y,48,1105805,4,2,2
"LAFAYETTE, IN",582,"LAFAYETTE, IN",0,,77,181298,0,0,0
,798,GLENDIVE,0,,186,0,0,0,0
INDIANAPOLIS,527,INDIANAPOLIS,33,Y,28,2830661,5,4,1
MIAMI-FT. LAUDERDALE,528,MIAMI-FT. LAUDERDALE,58,Y,29,4294098,0,0,0
LOUISVILLE,529,LOUISVILLE,17,Y,30,1685286,1,1,0
"TRI-CITIES, TN-VA",531,"TRI-CITIES, TN-VA",5,Y,32,803258,3,1,2
DALLAS-FT. WORTH,623,DALLAS-FT. WORTH,28,Y,101,7027317,16,11,5
,552,PRESQUE ISLE,0,,53,0,0,0,0
MARQUETTE,553,MARQUETTE,0,,54,219026,0,0,0
BLUEFIELD-BECKLEY-OAK HILL,559,BLUEFIELD-BECKLEY-OAK HILL,0,,60,347866,2,2,0
DAVENPORT-R.ISLAND-MOLINE,682,DAVENPORT-R.ISLAND-MOLINE,44,Y,142,772754,1,1,0
COLUMBIA-JEFFERSON CITY,604,COLUMBIA-JEFFERSON CITY,0,,88,465689,2,0,2
DOTHAN,606,DOTHAN,0,,90,265575,0,0,0
FT. MYERS-NAPLES,571,FT. MYERS-NAPLES,83,Y,70,1185094,0,0,0
ROANOKE-LYNCHBURG,573,ROANOKE-LYNCHBURG,3,Y,71,1118260,2,1,1
FT. WAYNE,509,FT. WAYNE,0,,10,714211,1,1,0
ERIE,516,ERIE,0,,17,411110,2,2,0
PADUCAH-C.GIRD-HARBG-MT VN,632,PADUCAH-C.GIRD-HARBG-MT VN,27,Y,109,983502,8,5,3
WEST PALM BEACH-FT. PIERCE,548,WEST PALM BEACH-FT. PIERCE,60,Y,49,1921851,4,4,0
LANSING,551,LANSING,0,,52,670977,1,1,0
SPOKANE,881,SPOKANE,52,Y,206,1112030,3,1,2
MOBILE-PENSACOLA,686,MOBILE-PENSACOLA,30,Y,143,1357210,4,2,2
LITTLE ROCK-PINE BLUFF,693,LITTLE ROCK-PINE BLUFF,7,Y,147,1445492,3,3,0
BATON ROUGE,716,BATON ROUGE,19,Y,154,903480,2,1,1
HARLINGEN-WSLCO-BRNSVL-MCA,636,HARLINGEN-WSLCO-BRNSVL-MCA,49,Y,113,1263586,1,1,0
LOS ANGELES,803,LOS ANGELES,80,Y,190,17550529,7,6,1
"TAMPA-ST. PETE,SARASOTA",539,"TAMPA-ST. PETE,SARASOTA",61,Y,40,4344445,5,5,0
,541,LEXINGTON,10,Y,42,0,1,1,0
OTTUMWA-KIRKSVILLE,631,OTTUMWA-KIRKSVILLE,0,,108,126088,0,0,0
SPRINGFIELD-HOLYOKE,543,SPRINGFIELD-HOLYOKE,0,,44,693262,0,0,0
ELMIRA,565,ELMIRA,0,,65,248145,0,0,0
